rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,exact_url_mentions_today,filename_mentions_today,canonical_mentions_today,social_exact_mentions_today,crawl_hits_today,providers_checked_today,errors_today,heat_score_7d,exact_url_mentions_7d,filename_mentions_7d,canonical_mentions_7d,social_exact_mentions_7d,crawl_hits_7d,providers_checked_7d,errors_7d,heat_score_30d,exact_url_mentions_30d,filename_mentions_30d,canonical_mentions_30d,social_exact_mentions_30d,crawl_hits_30d,providers_checked_30d,errors_30d
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into the NYPD's Compliance with Local Laws Restricting City Assistance with Immigration Enforcement,2025-12-03,https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2249NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2249NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2249NYPD.SancLawsRelease.Rpt.12.03.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation into the Reclamation of Vacant NYCHA Apartments,2026-03-03,https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F05NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2205NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F05NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2205NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F05NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:05NYCHAReclaim.Release.Rpt.03.03.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2205NYCHAReclaim.Release.Rpt.03.03.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,Access Denied: Challenges to DOI's Oversight of the City's Child Welfare System,2026-05-05,https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F10ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2210ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F10ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2210ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F10ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:10ACSReport.Release05.05.2026FINAL.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2210ACSReport.Release05.05.2026FINAL.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into Theft Involving Pension Funds Managed by the NYC Employees' Retirement System (NYCERS) and Related Recommendations,2025-09-17,https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F36NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2236NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F36NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2236NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F36NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:36NYCERS.Release.Rpt.09.17.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2236NYCERS.Release.Rpt.09.17.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,Update on NYPD's Implementation of DOI's 2023 Criminal Group Database Recommendations,2025-10-15,https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F41CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2241CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F41CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2241CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F41CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:41CGDRelease.Rpt.10.15.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2241CGDRelease.Rpt.10.15.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,Report on the New York City Conflicts of Interest Board's Advisory Opinion and Moonlighting Waiver Practices,2025-12-18,https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F50COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2250COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F50COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2250COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F50COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:50COIBRelease.Rpt.12.18.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2250COIBRelease.Rpt.12.18.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into DOC Correction Intelligence Bureau Investigator Assisting Federal Agents with Immigration Enforcement,2025-09-25,https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F38DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2238DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F38DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2238DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F38DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:38DOC.Release.Rpt.09.25.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2238DOC.Release.Rpt.09.25.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,OIG-NYPD Twelfth Annual Report,2026-04-15,https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2208OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2208OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2026%2F08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2208OIGNYPD.AR.Release.Rpt.04.15.2026.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,Eleventh Annual Report of DOI's Office of the Inspector General for the NYPD,2025-04-01,https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F17OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2217OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F17OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2217OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F17OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:17OIGNYPDARRelease.Rpt.04.01.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2217OIGNYPDARRelease.Rpt.04.01.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation of Excessive Workers' Compensation Claims by City Department of Correction Employees,2025-05-19,https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf,pdf,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F25Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2225Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F25Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2225Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen,0.0,0,0,0,0,0,"googlenews,hackernews",googlenews:https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%22https%3A%2F%2Fwww.nyc.gov%2Fassets%2Fdoi%2Freports%2Fpdf%2F2025%2F25Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen | googlenews:25Rpt.Release.WorkersComp05.19.2025.pdf:503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%2225Rpt.Release.WorkersComp05.19.2025.pdf%22&hl=en-US&gl=US&ceid=US%3Aen
